nohup: 忽略输入
../FEI-dataset/f1/f1
   	      	                    fitness                    	                   size_tree                   
   	      	-----------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max  	min  	nevals	std    	avg 	gen	max	min	nevals	std    
0  	100   	67.6458	0  	95.33	39.33	100   	19.0794	7.51	0  	46 	2  	100   	7.43034
1  	100   	88.0851	1  	95.33	51.33	100   	9.41223	9.03	1  	46 	2  	100   	10.5693
2  	100   	90.4863	2  	97.33	34   	100   	10.3032	15.79	2  	47 	2  	100   	11.6947
3  	100   	91.8995	3  	97.33	32.67	100   	12.3567	16.24	3  	42 	6  	100   	10.9207
4  	100   	93.099 	4  	98   	32.67	100   	10.8884	17.55	4  	42 	2  	100   	11.5138
5  	100   	93.8861	5  	98   	34.67	100   	9.86357	14.01	5  	47 	2  	100   	11.6949
6  	100   	93.4922	6  	98   	35.33	100   	11.76  	8.17 	6  	42 	2  	100   	6.40477
7  	100   	92.8661	7  	98   	36.67	100   	13.1825	6.62 	7  	11 	2  	100   	0.797245
8  	100   	93.0664	8  	98   	32.67	100   	14.5761	6.52 	8  	7  	2  	100   	0.805978
9  	100   	95.1931	9  	98   	38   	100   	9.58297	6.5  	9  	7  	2  	100   	0.921954
10 	100   	95.4866	10 	98   	34.67	100   	10.1135	6.57 	10 	7  	2  	100   	0.667158
11 	100   	94.0798	11 	98   	37.33	100   	12.456 	6.63 	11 	7  	2  	100   	0.673127
12 	100   	94.8265	12 	98   	38   	100   	10.7671	6.71 	12 	7  	2  	100   	0.637103
13 	100   	96.3795	13 	98   	31.33	100   	7.78929	6.59 	13 	7  	2  	100   	0.801187
14 	100   	94.7398	14 	98   	35.33	100   	11.5198	6.57 	14 	7  	2  	100   	0.803181
15 	100   	95.653 	15 	98   	48.67	100   	9.1113 	6.49 	15 	7  	2  	100   	0.9219  
16 	100   	95.4132	16 	98   	39.33	100   	10.4943	6.65 	16 	7  	2  	100   	0.653835
17 	100   	95.0999	17 	98   	34.67	100   	11.1071	6.6  	17 	7  	2  	100   	0.8     
18 	100   	94.1865	18 	98   	30.67	100   	13.3933	6.65 	18 	7  	2  	100   	0.653835
19 	100   	92.6463	19 	98   	32.67	100   	15.53  	6.63 	19 	7  	2  	100   	0.673127
20 	100   	95.9664	20 	98   	40.67	100   	7.82143	6.92 	20 	29 	2  	100   	2.30946 
21 	100   	95.2199	21 	98   	33.33	100   	11.4934	6.83 	21 	13 	6  	100   	0.749066
22 	100   	95.4001	22 	98   	34   	100   	10.6843	6.79 	22 	7  	2  	100   	0.604897
23 	100   	96.7464	23 	98   	51.33	100   	5.71047	6.78 	23 	7  	2  	100   	0.756042
24 	100   	96.0465	24 	98   	40   	100   	8.50506	6.93 	24 	7  	6  	100   	0.255147
25 	100   	95.3998	25 	98   	43.33	100   	9.55957	6.82 	25 	7  	2  	100   	0.864639
26 	100   	94.4735	26 	98   	30.67	100   	11.8064	6.83 	26 	7  	2  	100   	0.860872
27 	100   	96.1398	27 	98   	31.33	100   	9.29273	6.99 	27 	7  	6  	100   	0.0994987
28 	100   	96.1265	28 	98   	39.33	100   	7.95247	6.83 	28 	7  	2  	100   	0.860872 
29 	100   	96.2865	29 	98   	33.33	100   	8.10151	7.22 	29 	35 	2  	100   	2.83753  
30 	100   	95.7732	30 	98   	38   	100   	9.00492	6.98 	30 	7  	6  	100   	0.14     
31 	100   	92.247 	31 	98   	34   	100   	14.6533	6.78 	31 	7  	2  	100   	0.985698 
32 	100   	94.4866	32 	98   	32.67	100   	11.6895	6.88 	32 	7  	2  	100   	0.711056 
33 	100   	96.5998	33 	98   	47.33	100   	5.82104	7    	33 	7  	7  	100   	0        
34 	100   	97.5467	34 	98   	80.67	100   	2.09508	6.93 	34 	7  	2  	100   	0.514879 
35 	100   	94.6998	35 	98   	39.33	100   	11.2891	7    	35 	23 	2  	100   	1.82209  
36 	100   	95.3667	36 	98   	33.33	100   	10.551 	6.86 	36 	7  	2  	100   	0.721388 
37 	100   	94.6466	37 	98   	37.33	100   	12.3397	6.95 	37 	7  	2  	100   	0.497494 
38 	100   	94.4466	38 	98   	34   	100   	11.1488	6.89 	38 	7  	2  	100   	0.70562  
39 	100   	94.2734	39 	98   	35.33	100   	12.3603	6.95 	39 	9  	2  	100   	0.554527 
40 	100   	94.8933	40 	98   	37.33	100   	11.8276	6.93 	40 	7  	2  	100   	0.514879 
41 	100   	96.0132	41 	98   	41.33	100   	8.93289	7.53 	41 	57 	7  	100   	4.98087  
42 	100   	96.5998	42 	98   	34   	100   	7.31855	6.89 	42 	7  	2  	100   	0.70562  
43 	100   	95.4133	43 	98   	32.67	100   	10.1039	6.93 	43 	7  	2  	100   	0.514879 
44 	100   	96.2267	44 	98   	37.33	100   	7.46923	7.04 	44 	14 	6  	100   	0.72     
45 	100   	95.8332	45 	98   	40.67	100   	9.20828	6.89 	45 	7  	2  	100   	0.70562  
46 	100   	95.3535	46 	98   	34.67	100   	10.3652	6.89 	46 	7  	2  	100   	0.70562  
47 	100   	96.4066	47 	98   	51.33	100   	7.73786	6.94 	47 	7  	2  	100   	0.50636  
48 	100   	95.5669	48 	98   	40   	100   	8.28507	7.1  	48 	15 	5  	100   	1.0247   
49 	100   	95.4866	49 	98   	35.33	100   	8.92971	6.99 	49 	7  	6  	100   	0.0994987
50 	100   	95.0534	50 	98   	29.33	100   	12.3809	7    	50 	7  	7  	100   	0        
Best individual  Local_SIFT(Region_R(Image0, 102, 38, 43, 46))
Test results   98.0
Train time   3101.757593285
Test time   1.1241794150000715
End
